X..Pathway.Id	Pathway.Name	Bacterial-Pneumonia-Series1_NHBE_Mock	CoV-ARDS_d14-Series1_NHBE_Mock	CoV-ARDS-Series1_NHBE_Mock	CoV-Pneumonia-Series1_NHBE_Mock	Sepsis-ARDS-Series1_NHBE_Mock
path:hsa00010	Glycolysis / Gluconeogenesis	0.0313469128135196	-0.0953060191574997	-0.457774082796133	-1.22502124655406	-0.467720399010867
path:hsa00020	Citrate cycle (TCA cycle)	0.0260706462310196	-0.116297760242426	-0.147284924978662	-0.415966157381084	-0.0503500598995796
path:hsa00030	Pentose phosphate pathway	0.00286908297550636	0.0229168409057701	0.0735436327932053	0.0633289890852076	-0.00129436639121156
path:hsa00040	Pentose and glucuronate interconversions	-1.91760074156216e-05	-0.123433268018308	0.000172930692050749	-0.00228277547072796	-0.0510716086120966
path:hsa00051	Fructose and mannose metabolism	0.007958452069658	-0.111712611567533	-0.109830355599014	-0.113946632812867	-0.113637527421651
path:hsa00052	Galactose metabolism	0.0102073997622021	-0.126129700886642	-0.151792822365405	-0.154055132583065	-0.139263780321456
path:hsa00053	Ascorbate and aldarate metabolism	-0.000162534780804689	-0.0674876861712888	-0.0086314107460465	-0.00258009362793826	-0.00377870607688478
path:hsa00061	Fatty acid biosynthesis	-0.00148306789378559	1.59689019688324	-2.00806595080869	-0.0470979637062959	-0.210307012881904
path:hsa00062	Fatty acid elongation	0.000222246754877582	0.0516107258562031	-0.0674064418211185	-0.00305768227284777	-0.00292694529953667
path:hsa00071	Fatty acid degradation	0.00576809861766062	0.0140151686160171	-0.198036392034872	-0.639919759401953	-0.229100864350267
path:hsa00100	Steroid biosynthesis	-0.000117995115200608	0.0139949585130855	-0.0351030198009046	-0.0476809417021429	-0.266742383539535
path:hsa00120	Primary bile acid biosynthesis	-0.0002023873214343	0.0135194505918477	-0.0429620014383969	-0.108609625523242	-0.238135521831117
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0.00041998586273199	-0.00153202478756416	-0.475891848193144	0.532795007737236	0.466261454044189
path:hsa00140	Steroid hormone biosynthesis	0.0340858431366015	-0.34439843554636	0.225298677921799	0.124397455504775	-0.272314291701733
path:hsa00190	Oxidative phosphorylation	-0.00615308293965585	0.00861184429376729	0.0028254058802286	0.0350239044611103	-0.0509641382734384
path:hsa00220	Arginine biosynthesis	0.0254319683127547	-0.00218763937530821	-0.94736059650778	0.578629360516104	-0.0466734389132107
path:hsa00230	Purine metabolism	-0.154464231700393	-0.222543086210795	-0.46011300107815	-0.578763546064807	-0.414540221946456
path:hsa00232	Caffeine metabolism	2.88620492867434e-05	1.14195863797305e-05	-2.47048677505569e-06	-0.000111144575868268	-8.75435219737112e-06
path:hsa00240	Pyrimidine metabolism	-0.118590260676379	0.0928242792943468	-0.0373746132436148	-0.115667357249659	-0.189276590962967
path:hsa00250	Alanine, aspartate and glutamate metabolism	0.00132975776484904	-0.00658261818554727	-0.713097189170562	0.553888421878497	0.0979405259163787
path:hsa00260	Glycine, serine and threonine metabolism	-0.0031275520039665	-0.0669961374288767	-0.0416025870173425	0.494679230841991	-0.0251197291417814
path:hsa00270	Cysteine and methionine metabolism	0.0250074991566529	0.340413282563598	-1.34712114783681	-0.880847992759092	-0.180416671354621
path:hsa00280	Valine, leucine and isoleucine degradation	0.00580228172196272	0.0831042738590835	-0.0775828008248028	0.0483171847393658	-0.0551295180603217
path:hsa00290	Valine, leucine and isoleucine biosynthesis	-3.74203188412687e-07	-1.68644316436423e-05	-0.000792606895552066	0.000825646718155897	0.000807017886987002
path:hsa00310	Lysine degradation	0.0754336352092583	0.0991496468925338	-6.77700343605216	-6.39683057765559	-6.97335409265714
path:hsa00330	Arginine and proline metabolism	0.0222711303820376	0.0998016815743301	-0.978644199155932	0.501429095682094	0.543992455364792
path:hsa00340	Histidine metabolism	-0.0101389130622175	-0.0464856417433743	-0.0289165556452735	-0.0823109216272252	-0.0707880252943098
path:hsa00350	Tyrosine metabolism	-0.00063034931605412	-0.0281566980631092	-7.39326270399221	7.48798275236135	7.42200645252877
path:hsa00360	Phenylalanine metabolism	0.000223510880057854	-0.0489621643165143	-8.59343126967187	8.72945047448752	8.64701931626641
path:hsa00380	Tryptophan metabolism	0.0402387241144909	-0.0545861778094999	-0.191892432994356	-0.12076541377796	-0.308478793539428
path:hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis	-9.05243099976214e-06	2.31365420163586e-05	-2.15156566325271	2.21089777538064	2.19279939980277
path:hsa00410	beta-Alanine metabolism	-0.10169476992114	-0.0219003723249628	-0.0753837340717121	-0.159393610226781	-0.195617884470873
path:hsa00430	Taurine and hypotaurine metabolism	0.000569692328687709	1.50617045831285e-05	-0.0690975419152914	0.0710204423760746	0.0702565608663762
path:hsa00440	Phosphonate and phosphinate metabolism	-2.0329203858879e-09	1.53942318211033e-05	-2.5904473634457e-06	3.16719201444164e-07	1.77190708531064e-08
path:hsa00450	Selenocompound metabolism	-0.00207967350881779	0.0186365348249078	-0.0464905834826874	-0.107453266361194	-0.0490276096618463
